Desc	Family_ID	Gyromitra_ancilis_MICH352026	Gyromitra_venenata_UM1613	Gyromitra_melaleucoides_MICH352039	Gyromitra_montana_MICH352043	Gyromitra_brunnea_MICH352054	Gyromitra_korfii_MICH352062	Gyromitra_sphaerospora_UM1703	Gyromitra_californica_UM1686	Gyromitra_splendida_UM1688	Gyromitra_infula_UM1689	Gyromitra_sp._9_UM1691	Gyromitra_americanigigas_MICH352016	Gyromitra_leucoxantha_MICH352087	Gyromitra_caroliniana_MICH352092	Gyromitra_cubispora_FLAS-F-62913	Gyromitra_antarctica_FLAS-F-65994	Gyromitra_sphaerospora_MICH25703	Gyromitra_ambigua_MICH28519	Gyromitra_mcknightii_MICH28557	Gyromitra_cerebriformis_MICH67763	Gyromitra_venenata_UM1678	Gyromitra_korfii_MICH352049	Gyromitra_venenata_MICH352070	Gyromitra_warnei_MICH352073	Gyromitra_ancilis_MICH352081	Gyromitra_sp._2_MICH346448	Gyromitra_sp._4_MICH346481	Gyromitra_sp._11_MICH346502	Gyromitra_persicula_MICH346504	Gyromitra_venenata_MICH346486	Gyromitra_anthracobia_UM1716	Gyromitra_ambigua_UM1693	Gyromitra_sp._1_FLAS-F-59196	Gyromitra_sp._5_FLAS-F-59198	Gyromitra_variiformis_FLAS-F-60223	Gyromitra_larryi_FLAS-F-61941	Gyromitra_antarctica_FLAS-F-63725	Gyromitra_sp._8_MICH4601	Gyromitra_melaleucoides_MICH1455	Gyromitra_caroliniana_MICH25515	Gyromitra_brunnea_MICH352048	Gyromitra_spinosospora_LUG3910	Gyromitra_grandis_LE247912	Gyromitra_olympiana_MICH345142	Gyromitra_mcknightii_MICH346490	Gyromitra_sp._3_UM1714	Gyromitra_venenata_MICH345124	Gyromitra_gigas_MICH345132	Gyromitra_perlata_MICH345136	Gyromitra_parma_MICH345138	Gyromitra_martinii_MICH346002	Gyromitra_bailii_MICH345143	Gyromitra_gigas_MICH345151	Gyromitra_geogenius_MICH345152	Gyromitra_tulasnei_MICH345153	Gyromitra_californica_ARIZ-AN017729	Gyromitra_persicula_MICH346493	Gyromitra_sp._6_ARIZ-AN044228	Gyromitra_sp._9_FLAS-F-63292	Gyromitra_sp._13_MICH346255	Gyromitra_esculenta_CBS101906	Gyromitra_infula_GyrinfSpk-SM18
(null)	CAZy:AA1	2	5	5	2	2	2	5	5	4	5	5	2	2	2	5	4	5	5	2	4	5	2	5	2	2	2	2	2	2	5	4	5	4	5	4	2	4	2	5	2	2	2	2	2	2	5	5	2	2	2	2	5	2	2	4	5	2	2	5	2	4	4
(null)	CAZy:AA11	11	9	7	9	11	7	8	7	7	8	8	10	8	9	7	7	7	8	11	8	8	11	10	11	11	9	11	11	8	9	8	8	8	7	7	9	8	11	7	9	11	9	11	9	11	7	10	9	11	11	10	7	10	8	7	7	7	9	9	9	9	7
(null)	CAZy:AA12	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	0
(null)	CAZy:AA14	3	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1	3	0	2	2	2	3	3	3	3	3	2	2	2	1	0	0	0	3	2	3	2	2	2	3	2	3	3	0	0	2	3	2	2	0	2	3	0	2	2	3	2	2	2	2
(null)	CAZy:AA16	0	1	1	0	0	0	1	2	1	1	1	0	0	0	1	1	2	1	0	1	1	0	1	0	0	0	0	0	0	1	2	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	1
(null)	CAZy:AA2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	CAZy:AA3	10	10	11	7	5	6	13	11	9	15	13	8	7	6	7	9	13	14	9	7	10	7	10	8	9	8	9	10	7	10	13	14	10	8	7	9	9	8	10	6	6	10	6	9	9	7	10	8	9	5	8	7	8	9	8	11	7	9	17	8	9	12
(null)	CAZy:AA4	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0
(null)	CAZy:AA5	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	CAZy:AA6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
