Label	Species	Name_full	Name_partial	Size	GC	Genes	Average_gene_length	tRNA	PFAM	MEROPS	Secretion	Average_exon_length	Avg_protein_length	Exons	Transposable_elements
Sample_4152-AD-1-filtered	Gyromitra ancilis	Gyromitra ancilis MICH352026 USA-MI	Gyromitra ancilis MICH352026	45762672	49.77	11338	1454.98	271	6078	227	690	381.72	437.75	34751	550
Sample_4152-AD-2-filtered	Gyromitra venenata	Gyromitra venenata UM1613 USA-MI	Gyromitra venenata UM1613	44147473	46.27	11449	1435.45	271	6367	242	747	366.0	429.37	35164	838
Sample_4152-AD-3-filtered	Gyromitra melaleucoides	Gyromitra melaleucoides MICH352039 USA-OR	Gyromitra melaleucoides MICH352039	41318832	47.7	9665	1608.12	203	5964	238	640	389.07	480.24	31968	496
Sample_4152-AD-4-filtered	Gyromitra montana	Gyromitra montana MICH352043 USA-OR	Gyromitra montana MICH352043	42304657	49.21	11216	1528.1	223	6329	237	736	379.57	455.06	36123	385
Sample_4152-AD-5-filtered	Gyromitra brunnea	Gyromitra brunnea MICH352054 USA-MI	Gyromitra brunnea MICH352054	38980074	50.14	10663	1463.7	195	5808	228	664	378.1	436.9	33377	464
Sample_4152-AD-7-filtered	Gyromitra korfii	Gyromitra korfii MICH352062 USA-IN	Gyromitra korfii MICH352062	45145517	49.43	11196	1513.45	220	6146	230	703	380.34	450.62	35705	1672
Sample_4152-AD-9-filtered	Gyromitra splendida	Gyromitra splendida MICH25554 USA-MI	Gyromitra splendida MICH25554	39273639	46.08	12109	1261.67	224	6174	246	742	339.02	374.99	35718	198
Sample_4981-AD-1-filtered	Gyromitra sphaerospora	Gyromitra sphaerospora UM1703 Canada	Gyromitra sphaerospora UM1703	57887148	47.21	12417	1485.95	278	6566	241	743	380.73	442.5	38476	1183
Sample_4981-AD-2-filtered	Gyromitra californica	Gyromitra californica UM1686 USA-WA	Gyromitra californica UM1686	58336588	46.9	12468	1469.7	272	6523	239	734	380.56	437.44	38386	721
Sample_4981-AD-3-filtered	Gyromitra splendida	Gyromitra splendida UM1688 USA-WA	Gyromitra splendida UM1688	43751227	46.34	11264	1505.65	262	6464	238	760	358.1	446.52	37378	538
Sample_4981-AD-4-filtered	Gyromitra infula	Gyromitra infula UM1689 USA-WA	Gyromitra infula UM1689	43846372	46.39	10893	1621.19	286	6607	252	767	386.79	486.5	36486	229
