Label	Species	Name_full	Name_partial	CAZy:AA1	CAZy:AA11	CAZy:AA12	CAZy:AA14	CAZy:AA16	CAZy:AA2	CAZy:AA3	CAZy:AA4	CAZy:AA5	CAZy:AA6	CAZy:AA7	CAZy:AA8	CAZy:AA9	CAZy:CBM18	CAZy:CBM21	CAZy:CBM35	CAZy:CBM4	CAZy:CBM43	CAZy:CBM46	CAZy:CBM50	CAZy:CBM51	CAZy:CBM52	CAZy:CE1	CAZy:CE10	CAZy:CE12	CAZy:CE15	CAZy:CE16	CAZy:CE3	CAZy:CE4	CAZy:CE5	CAZy:CE8	CAZy:GH1	CAZy:GH10	CAZy:GH104	CAZy:GH105	CAZy:GH106	CAZy:GH108	CAZy:GH115	CAZy:GH117	CAZy:GH12	CAZy:GH125	CAZy:GH127	CAZy:GH128	CAZy:GH13	CAZy:GH131	CAZy:GH132	CAZy:GH133	CAZy:GH134	CAZy:GH145	CAZy:GH146	CAZy:GH15	CAZy:GH152	CAZy:GH154	CAZy:GH16	CAZy:GH17	CAZy:GH18	CAZy:GH19	CAZy:GH2	CAZy:GH20	CAZy:GH23	CAZy:GH24	CAZy:GH25	CAZy:GH26	CAZy:GH27	CAZy:GH28	CAZy:GH3	CAZy:GH31	CAZy:GH32	CAZy:GH33	CAZy:GH35	CAZy:GH37	CAZy:GH38	CAZy:GH43	CAZy:GH45	CAZy:GH47	CAZy:GH49	CAZy:GH5	CAZy:GH51	CAZy:GH53	CAZy:GH55	CAZy:GH6	CAZy:GH65	CAZy:GH7	CAZy:GH71	CAZy:GH72	CAZy:GH74	CAZy:GH75	CAZy:GH76	CAZy:GH78	CAZy:GH79	CAZy:GH81	CAZy:GH85	CAZy:GH88	CAZy:GH92	CAZy:GH93	CAZy:GH95	CAZy:GT1	CAZy:GT15	CAZy:GT17	CAZy:GT20	CAZy:GT21	CAZy:GT22	CAZy:GT24	CAZy:GT26	CAZy:GT2_Chitin_synth	CAZy:GT2_Glycos_transf	CAZy:GT2_Glyco_tranf_2	CAZy:GT2_Glyco_trans_2	CAZy:GT3	CAZy:GT32	CAZy:GT33	CAZy:GT34	CAZy:GT35	CAZy:GT39	CAZy:GT4	CAZy:GT48	CAZy:GT50	CAZy:GT51	CAZy:GT57	CAZy:GT58	CAZy:GT59	CAZy:GT62	CAZy:GT66	CAZy:GT69	CAZy:GT76	CAZy:GT77	CAZy:GT8	CAZy:GT90	CAZy:PL1	CAZy:PL17	CAZy:PL3	CAZy:PL35	CAZy:PL4	CAZy:PL7	CAZy:PL9	CAZy:SLH	
Sample_4152-AD-1-filtered	Gyromitra ancilis	Gyromitra ancilis MICH352026 USA-MI	Gyromitra ancilis MICH352026	2	11	1	3	0	1	10	1	1	1	7	1	18	1	1	1	0	1	0	1	0	0	2	10	2	1	2	1	5	2	1	2	3	0	2	0	0	1	0	1	1	0	2	4	1	2	1	1	1	0	2	1	1	7	5	4	0	4	2	0	0	0	1	1	1	8	6	0	0	4	1	1	5	1	4	0	14	1	1	3	3	1	2	1	4	1	2	4	0	1	1	1	1	1	0	1	0	4	0	3	1	4	1	0	6	2	1	1	1	2	1	3	1	3	3	1	1	0	2	1	1	3	1	1	1	0	5	1	4	0	2	0	3	0	0	0	
Sample_4152-AD-2-filtered	Gyromitra venenata	Gyromitra venenata UM1613 USA-MI	Gyromitra venenata UM1613	5	9	1	2	1	1	10	1	1	1	11	2	25	3	1	1	0	1	2	0	0	1	2	9	3	1	3	1	8	4	2	2	4	0	2	0	0	2	0	1	1	1	2	7	2	2	1	1	1	1	2	1	1	6	3	5	0	4	2	0	0	0	2	1	3	11	6	1	1	4	1	1	10	0	5	0	16	0	0	4	2	1	2	1	4	0	2	5	1	1	1	1	2	1	1	2	0	3	0	3	1	4	1	0	7	2	1	1	1	1	1	3	1	3	4	1	1	0	2	1	1	3	1	2	1	0	6	1	11	0	5	0	6	0	0	0	
Sample_4152-AD-3-filtered	Gyromitra melaleucoides	Gyromitra melaleucoides MICH352039 USA-OR	Gyromitra melaleucoides MICH352039	5	7	1	2	1	1	11	0	1	1	9	1	26	0	1	2	0	1	1	0	0	0	4	9	2	1	3	1	6	3	2	2	3	0	2	0	0	1	0	1	1	0	2	6	2	2	1	1	1	0	2	1	1	6	4	3	0	2	2	0	0	0	1	0	0	8	8	1	0	2	1	0	6	1	5	0	14	2	1	3	3	1	4	1	4	0	1	4	0	0	1	1	1	1	0	2	1	5	0	3	1	3	0	0	6	2	1	1	1	2	1	3	1	3	4	1	1	0	2	1	1	3	1	2	1	0	5	2	4	0	3	0	3	0	0	0	
Sample_4152-AD-4-filtered	Gyromitra montana	Gyromitra montana MICH352043 USA-OR	Gyromitra montana MICH352043	2	9	1	2	0	1	7	1	1	1	11	1	22	0	1	1	0	1	0	0	0	0	2	10	2	1	2	1	4	3	2	2	3	0	2	0	0	1	0	1	1	0	1	5	2	2	1	1	1	0	2	1	1	8	4	5	0	4	1	0	0	0	1	1	1	8	6	0	0	4	1	1	5	1	5	0	14	1	1	3	3	1	3	1	4	1	2	5	0	1	1	1	1	0	0	2	0	6	0	2	1	4	1	0	6	2	1	1	1	1	1	3	1	3	3	1	1	0	2	1	1	3	1	0	1	0	5	1	4	0	3	0	3	0	0	0	
Sample_4152-AD-5-filtered	Gyromitra brunnea	Gyromitra brunnea MICH352054 USA-MI	Gyromitra brunnea MICH352054	2	11	1	2	0	1	5	1	1	1	9	1	18	0	1	1	0	1	0	0	0	0	2	7	1	1	2	1	5	2	1	2	3	0	2	0	0	1	0	0	1	0	2	4	2	2	1	0	1	0	2	1	0	7	5	3	0	3	2	0	0	0	1	0	0	9	6	0	0	4	1	1	3	1	5	0	12	1	1	3	3	1	2	1	4	1	2	5	0	0	1	1	1	1	0	1	2	5	0	3	1	3	0	0	6	2	0	1	1	1	1	3	1	3	4	1	1	0	2	1	1	3	1	1	1	0	6	1	4	0	2	0	3	0	0	0	
Sample_4152-AD-7-filtered	Gyromitra korfii	Gyromitra korfii MICH352062 USA-IN	Gyromitra korfii MICH352062	2	7	1	2	0	1	6	0	1	1	8	2	19	1	1	1	0	1	0	0	0	1	2	9	2	1	2	1	6	4	2	2	3	0	1	0	0	1	0	1	1	0	1	5	2	2	1	0	1	0	2	1	1	7	4	4	0	3	2	0	0	0	1	0	1	8	6	0	0	3	1	1	5	1	5	0	12	2	1	3	3	1	3	1	4	0	2	5	0	1	1	1	1	1	0	2	1	3	0	2	1	3	1	0	6	2	1	1	1	2	1	3	1	3	3	0	1	0	2	1	0	3	1	1	0	0	4	1	4	0	4	0	3	0	0	0	
Sample_4152-AD-9-filtered	Gyromitra splendida	Gyromitra splendida MICH25554 USA-MI	Gyromitra splendida MICH25554	4	7	0	1	1	1	9	1	1	1	8	1	25	3	1	1	0	1	1	0	0	0	2	7	3	1	2	1	8	3	2	2	4	0	2	0	0	2	0	1	1	0	2	5	2	2	1	1	1	1	2	1	1	5	3	4	0	2	2	0	0	0	2	0	4	11	6	1	1	4	1	1	11	0	5	0	17	1	1	4	2	1	2	1	4	0	2	4	1	1	1	1	1	1	1	2	2	5	0	3	1	2	1	0	7	1	1	1	1	1	1	3	1	3	2	0	1	0	2	1	1	3	1	2	1	0	6	1	10	0	5	0	4	0	0	0	
Sample_4981-AD-1-filtered	Gyromitra sphaerospora	Gyromitra sphaerospora UM1703 Canada	Gyromitra sphaerospora UM1703	5	8	1	2	1	1	13	1	1	1	7	1	27	0	1	1	0	1	1	1	0	0	2	9	3	1	3	1	7	2	1	2	4	0	3	0	0	1	0	1	1	1	1	7	2	2	1	1	1	1	2	1	1	6	5	6	0	4	2	0	0	0	1	1	4	9	7	1	0	4	1	0	9	0	5	1	14	2	0	4	3	1	2	1	4	0	2	5	1	0	2	1	1	1	1	2	0	4	0	2	1	4	1	0	6	2	1	1	1	2	1	3	1	3	4	0	1	0	2	1	1	3	1	2	0	0	5	1	7	0	5	0	5	0	0	0	
Sample_4981-AD-2-filtered	Gyromitra californica	Gyromitra californica UM1686 USA-WA	Gyromitra californica UM1686	5	7	1	2	2	1	11	0	1	1	6	1	27	0	1	1	0	1	1	1	0	0	3	10	3	1	2	1	5	2	1	2	4	0	3	0	0	1	0	1	1	1	1	7	2	2	1	1	1	1	2	1	1	7	5	7	0	3	2	0	0	0	1	1	4	9	7	1	0	4	1	1	9	1	5	1	14	2	0	4	3	1	2	1	4	0	2	5	1	1	2	1	0	0	1	2	0	4	0	2	1	3	1	0	6	2	1	1	1	2	1	3	1	3	4	0	1	0	2	1	1	3	1	2	0	0	5	1	8	0	5	0	5	0	0	0	
Sample_4981-AD-3-filtered	Gyromitra splendida	Gyromitra splendida UM1688 USA-WA	Gyromitra splendida UM1688	4	7	1	2	1	1	9	0	0	1	9	1	26	2	1	1	0	1	1	0	0	0	2	9	3	1	3	1	8	3	2	2	4	0	3	0	0	2	0	1	1	1	2	7	2	2	1	1	1	1	2	1	1	6	4	5	0	4	2	0	0	0	2	0	4	11	6	1	1	4	1	1	11	0	5	0	17	1	1	4	2	1	2	1	4	0	2	4	1	1	1	1	2	1	1	2	1	5	0	3	1	4	1	0	6	2	1	1	1	1	1	3	1	3	4	0	1	0	2	1	1	3	1	2	1	0	6	2	10	0	5	0	5	0	0	0	
