Label	Species	Name_full	Name_partial	NRPS	PKS	Hybrid	Terpene	RiPP	Other
Sample_4152-AD-1-filtered	Gyromitra ancilis	Gyromitra ancilis MICH352026 USA-MI	Gyromitra ancilis MICH352026	6	0	1	5	1	1
Sample_4152-AD-2-filtered	Gyromitra venenata	Gyromitra venenata UM1613 USA-MI	Gyromitra venenata UM1613	6	1	1	5	1	0
Sample_4152-AD-3-filtered	Gyromitra melaleucoides	Gyromitra melaleucoides MICH352039 USA-OR	Gyromitra melaleucoides MICH352039	5	3	1	7	0	1
Sample_4152-AD-4-filtered	Gyromitra montana	Gyromitra montana MICH352043 USA-OR	Gyromitra montana MICH352043	5	1	1	4	2	1
Sample_4152-AD-5-filtered	Gyromitra brunnea	Gyromitra brunnea MICH352054 USA-MI	Gyromitra brunnea MICH352054	5	0	2	4	1	1
Sample_4152-AD-7-filtered	Gyromitra korfii	Gyromitra korfii MICH352062 USA-IN	Gyromitra korfii MICH352062	5	1	1	4	1	1
Sample_4152-AD-9-filtered	Gyromitra splendida	Gyromitra splendida MICH25554 USA-MI	Gyromitra splendida MICH25554	7	1	1	4	2	0
Sample_4981-AD-1-filtered	Gyromitra sphaerospora	Gyromitra sphaerospora UM1703 Canada	Gyromitra sphaerospora UM1703	7	1	1	5	1	0
Sample_4981-AD-2-filtered	Gyromitra californica	Gyromitra californica UM1686 USA-WA	Gyromitra californica UM1686	6	1	1	5	1	0
Sample_4981-AD-3-filtered	Gyromitra splendida	Gyromitra splendida UM1688 USA-WA	Gyromitra splendida UM1688	7	1	1	5	1	0
Sample_4981-AD-4-filtered	Gyromitra infula	Gyromitra infula UM1689 USA-WA	Gyromitra infula UM1689	7	1	1	5	2	0
Sample_4981-AD-5-filtered	Gyromitra sp. 9	Gyromitra sp. 9 UM1691 USA-CA	Gyromitra sp. 9 UM1691	7	1	2	5	2	1
Sample_4981-AD-6-filtered	Gyromitra americanigigas	Gyromitra americanigigas MICH352016 USA-MI	Gyromitra americanigigas MICH352016	5	1	1	4	2	1
Sample_4981-AD-7-filtered	Gyromitra leucoxantha	Gyromitra leucoxantha MICH352087 USA-NY	Gyromitra leucoxantha MICH352087	6	0	1	4	5	1
Sample_4981-AD-8-filtered	Gyromitra caroliniana	Gyromitra caroliniana MICH352092 USA-MO	Gyromitra caroliniana MICH352092	4	0	1	4	2	1
Sample_4981-AD-9-filtered	Hydnotrya cubispora	Gyromitra cubispora FLAS-F-62913 Scotland	Gyromitra cubispora FLAS-F-62913	4	1	1	5	1	0
Sample_4981-AD-10-filtered	Gyromitra antarctica	Gyromitra antarctica FLAS-F-65994 Chile	Gyromitra antarctica FLAS-F-65994	6	1	1	5	1	0
Sample_4981-AD-11-filtered	Gyromitra sphaerospora	Gyromitra sphaerospora MICH25703 USA-MI	Gyromitra sphaerospora MICH25703	8	1	1	5	1	0
Sample_4981-AD-12-filtered	Gyromitra ambigua	Gyromitra ambigua MICH28519 USA-AZ	Gyromitra ambigua MICH28519	8	1	1	5	2	1
Sample_4981-AD-13-filtered	Gyromitra mcknightii	Gyromitra mcknightii MICH28557 USA-AZ	Gyromitra mcknightii MICH28557	6	0	1	4	1	1
Sample_4981-AD-14-filtered	Gyromitra sp. 6	Gyromitra sp. 6 MICH4614 USA-ID	Gyromitra sp. 6 MICH4614	6	2	0	4	2	1
Sample_4981-AD-15-filtered	Hydnotrya cerebriformis	Gyromitra cerebriformis MICH67763 USA-AZ	Gyromitra cerebriformis MICH67763	4	1	1	6	0	0
Sample_6977-AD-1-filtered	Gyromitra venenata	Gyromitra venenata UM1678 USA-MI	Gyromitra venenata UM1678	6	1	1	5	1	0
Sample_6977-AD-2-filtered	Gyromitra korfii	Gyromitra korfii MICH352049 USA-PA	Gyromitra korfii MICH352049	6	1	1	4	2	1
Sample_6977-AD-3-filtered	Gyromitra venenata	Gyromitra venenata MICH352070 Canada-QC	Gyromitra venenata MICH352070	6	1	1	5	1	0
Sample_6977-AD-4-filtered	Gyromitra warnei	Gyromitra warnei MICH352073 USA-MI	Gyromitra warnei MICH352073	6	0	1	5	1	1
Sample_6977-AD-5-filtered	Gyromitra ancilis	Gyromitra ancilis MICH352081 USA-PA	Gyromitra ancilis MICH352081	6	0	1	5	1	1
Sample_6977-AD-6-filtered	Gyromitra sp. 2	Gyromitra sp. 2 MICH346448 Canada-BC	Gyromitra sp. 2 MICH346448	5	1	1	4	0	1
